lookback,hidden_size,num_layers,learning_rate,batch_size,epochs,train_rmse,test_rmse,test_mae,test_r2,training_time,trial_number
42,53,5,0.01032833974654988,37,75,0.23610967,0.1969237,0.1648927479982376,-0.05934441089630127,346.21114802360535,1
24,91,2,0.012759686136280085,19,230,0.2609746,0.21236986,0.16325265169143677,-0.23472845554351807,1840.78578042984,2
48,8,6,0.011196507183983264,45,52,0.062023714,0.070331246,0.048714540898799896,0.8647862672805786,2056.505075454712,3
12,138,3,0.0012002827428180861,63,108,0.06240173,0.06951147,0.04639274999499321,0.8675671815872192,2319.3420836925507,4
12,161,3,0.046825215235985235,38,265,0.4870459,0.43677732,0.39287516474723816,-4.228808879852295,3324.6100704669952,5
42,120,1,0.039881595188046494,43,146,0.32417762,0.317107,0.24577170610427856,-1.7469632625579834,3730.700283765793,6
12,65,2,0.014482522888542525,45,258,0.24660808,0.21502915,0.17892594635486603,-0.26729369163513184,4491.892450094223,7
18,105,2,0.019201554025285252,36,102,0.26474616,0.24943088,0.21213528513908386,-0.7041575908660889,4854.825266361237,8
36,16,5,0.005809232814970414,35,282,0.06426064,0.07103482,0.04835057631134987,0.8620473146438599,6261.917271614075,9
42,89,4,0.0076715264194106925,62,261,0.23946886,0.25664166,0.2287994623184204,-0.7992663383483887,6975.615996360779,10
24,256,1,0.001,16,50,0.06776812,0.07401115,0.05012631416320801,0.8500384092330933,7312.887569665909,11
48,70,4,0.03861322198707838,16,263,0.26823363,0.25464582,0.19364452362060547,-0.7725449800491333,9775.99427318573,12
18,8,2,0.002405675084685073,16,50,0.05612785,0.065239854,0.04256518930196762,0.883417010307312,10154.863203763962,13
